Duda,Respuesta actual,Clave,Referencia
¿Qué prestaciones tienen?,"Tenemos estos beneficios para ti:

🏥Seguro Social
🏡Infonavit
💵Aguinaldo
🏝️Vacaciones
💵Prima vacacional
📅💰Bono mensual 
Fondo de ahorro 13%","prestaciones, beneficios, seguro, infonavit, aguinaldo, vacaciones, bono, fondo de ahorro",Prestaciones
¿Qué papeleria piden?,"Pedimos la siguiente papelería :
✅Acta de nacimiento
✅Constancia de situación fiscal (SAT)
✅CURP
✅IFE /INE
✅Número de seguro social
✅Comprobante de domicilio
✅Comprobante de estudio","papeleria, documentos, acta nacimiento, constancia fiscal, SAT, CURP, IFE, INE, seguro social, comprobante domicilio, comprobante estudio",Documentos requeridos
¿Dónde estan ubicados?,"Estamos ubicados en calle Camino al Sabinal #105, El Sabinal Industrial Park, Apodaca.
Como referencia estamos muy cerca de Merco de la colonia Pueblo Nuevo por calle Alemania.","ubicacion, direccion, calle, Sabinal, Apodaca, referencia, Merco, colonia, Pueblo Nuevo, calle Alemania",Ubicación
¿Tienen transporte? / Rutas de transporte,"Tenemos un apoyo de transporte semanal de $350 y las rutas de transporte que pasan cerca de aquí son:
527- cualquiera
222 - Pueblo Nuevo - San Isidro
109 - Las flores - San Isidro
105 - Pueblo Nuevo
Transmetro Romulo Garza","transporte, rutas, apoyo, semanal, 350, 527, 222, 109, 105, Transmetro, Romulo Garza",Transporte
¿Qué hacen? / ¿A que se dedica la empresa?,"Hacemos Empaque y Embalaje para la industria automotriz, por ejemplo cajas de cartón y plastico (coroplast), racks para almacenaje y dunnage.","empresa, dedicacion, empaque, embalaje, industria automotriz, cajas, carton, plastico, coroplast, racks, almacenaje, dunnage",Actividad de la empresa
¿Se necesita experiencia?,Para ayudantes generales no pedimos experiencia.,"experiencia, ayudantes generales, no pedimos",Experiencia requerida
¿Hacen examen medico? / ¿Qué examenes hacen?,"Nuestro examen medico incluye:

Antidoping (orina)
Chequeo de glucosa
Chequeo de presión arterial
Prueba de embarazo en mujeres

*Pará un resultado óptimo te recomendamos:*

Beber agua antes de la prueba","examen, medico, antidoping, orina, glucosa, presion arterial, prueba embarazo, mujeres, beber agua",Examen médico
¿Es contratación inmediata?,"Es un proceso muy rapido, hacemos entrevista y examen medico, te damos respuesta inmediata. 
Para algunos puestos pedimos referencias","contratacion, inmediata, proceso, rapido, entrevista, examen medico, respuesta inmediata, referencias",Contratación inmediata
¿Tienen semana desfasada?/ ¿Es semana al corriente?,"Nuestro periodo de nomina cuenta de la siguiente manera: la semana corta el miércoles y comienza de nuevo el jueves, pagamos los viernes.","semana, nomina, desfasada, corriente, periodo, miercoles, jueves, viernes",Semana de nómina
¿El sueldo ya es libre de impuestos?,"Tu sueldo base ya es libre de impuestos, tus premios se dan cuando no tuviste faltas ni retardos.","sueldo, impuestos, base, premios, faltas, retardos",Sueldo e impuestos
¿Tienen comedor subsidiado?,"Tengo un area de comedor que puedes usar en tu horario de break o comida, tenemos refrigeradores para guardar tus alimentos y microondas.","comedor, subsidiado, area, break, comida, refrigeradores, microondas",Comedor subsidiado
¿Con que tarjeta pagan?,"Pagamos con AFIRME, aquí realizamos el tramite para tu tarjeta no es necesario que vayas al banco.","tarjeta, pago, AFIRME, tramite, banco",Tarjeta de pago
¿Es contratación directa con la empresa?,"Si, FORM te contrata directo.","contratacion, directa, empresa, FORM",Contratación directa
¿Cuándo puedo ir a entrevista?,"*Puedes venir a entrevista hoy mismo.
*Tenemos entrevistas de lunes a viernes de 10am a 3pm y los sábados de 9am a 12:30pm ¿Te gustaria agendar una entrevista?","entrevista, fecha, ir",Entrevista
