encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
1,administrativo,9,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,cotizacion imss fecha pago comer 3pm,comodo contento,30,femenino,union libre,apodaca,licenciatura,0,Otros,Positivo
2,costurera,36,otro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,Desacuerdo,Desacuerdo,De Acuerdo,0,0,NA,comodo,54,femenino,casado,apodaca,primaria,0,Otros,Positivo
3,ayudante general,4,ubicacion empresa,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,1,1,trabajo estres,comoda contento,21,femenino,soltero,apodaca,preparatoria,0,Estrés y Carga de Trabajo,Positivo
4,ayudante general,2,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,comodo contento,20,femenino,casado,apodaca,preparatoria,0,Otros,Positivo
5,ayudante general,1,ubicacion empresa,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,Neutro,De Acuerdo,0,0,bien,comodo,43,femenino,soltero,juarez,secundaria,0,Otros,Positivo
6,ayudante general,36,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,nulo,comodo comodo,61,femenino,union libre,apodaca,secundaria,2,Otros,Positivo
7,ayudante general,36,ubicacion empresa,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,1,ambiente laboral,agrada hago,55,femenino,casado,apodaca,secundaria,1,Ambiente Laboral,Indefinido
8,administrativo,36,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,planeacion genera urgencias,contento paz  em mucho crecimiento personal profesional,29,masculino,soltero,apodaca,licenciatura,0,Otros,Positivo
9,costurera,36,salario,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,1,salario puesto vacaciones,comodo,56,femenino,soltero,apodaca,secundaria,0,Salario y Prestaciones,Positivo
10,ayudante general,1,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,0,0,calor beneficios dan llevar mas ano laborando boletos posada,comodo,36,femenino,union libre,apodaca,secundaria,2,Condiciones Laborales,Positivo
11,costurera,25,otro,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,mal companerismo,comodo realizada contento,56,femenino,casado,otro,secundaria,1,Otros,Positivo
12,ayudante general,1,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,comodo comodo,36,masculino,soltero,apodaca,preparatoria,0,Otros,Positivo
13,ayudante general,2,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,perfecto,muy comoda menos estres antes,30,femenino,casado,apodaca,licenciatura,1,Otros,Indefinido
14,ayudante general,1,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,bastante comodo,24,femenino,union libre,apodaca,preparatoria,0,Otros,Positivo
15,ayudante general,1,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,comodo,42,femenino,soltero,apodaca,secundaria,2,Otros,Positivo
16,administrativo,25,razones personales,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,1,NA,mucho crecimiento profesional,27,masculino,soltero,apodaca,licenciatura,1,Otros,Positivo
