Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_industria_manufacturera,Poblacion_ocupada,Tasa_de_ocupacion_industria_manufacturera
2011,1,Nacional,Hombres,4424953,28436561,15.5607881
2011,1,Nacional,Mujeres,2519461,16818295,14.9804781
2011,1,Aguascalientes,Hombres,68679,277033,24.79090939
2011,1,Aguascalientes,Mujeres,28915,175410,16.48423693
2011,1,Baja California,Hombres,141854,826138,17.17073903
2011,1,Baja California,Mujeres,96853,486548,19.9061552
2011,1,Baja California Sur,Hombres,15200,174030,8.7341263
2011,1,Baja California Sur,Mujeres,7783,110178,7.064023671
2011,1,Campeche,Hombres,16885,225945,7.473057603
2011,1,Campeche,Mujeres,15513,128879,12.03687179
2011,1,Coahuila,Hombres,185481,710592,26.10232032
2011,1,Coahuila,Mujeres,69971,383547,18.24313578
2011,1,Colima,Hombres,14190,174618,8.126310002
2011,1,Colima,Mujeres,8741,122966,7.108469008
2011,1,Chiapas,Hombres,68624,1272100,5.394544454
2011,1,Chiapas,Mujeres,64166,527915,12.15460822
2011,1,Chihuahua,Hombres,150140,799183,18.7866859
2011,1,Chihuahua,Mujeres,90143,410298,21.97012903
2011,1,Ciudad de México,Hombres,283749,2240004,12.66734345
2011,1,Ciudad de México,Mujeres,173404,1667075,10.40169159
2011,1,Durango,Hombres,67555,392170,17.22594793
2011,1,Durango,Mujeres,26740,194542,13.74510389
2011,1,Guanajuato,Hombres,328260,1240742,26.45674927
2011,1,Guanajuato,Mujeres,173721,854887,20.3209313
2011,1,Guerrero,Hombres,53116,761942,6.971134286
2011,1,Guerrero,Mujeres,83720,528047,15.8546493
2011,1,Hidalgo,Hombres,102987,637709,16.14952902
2011,1,Hidalgo,Mujeres,64572,385997,16.72862742
2011,1,Jalisco,Hombres,369043,1923841,19.18261436
2011,1,Jalisco,Mujeres,195850,1241434,15.77611053
2011,1,México,Hombres,696817,3955142,17.61800208
2011,1,México,Mujeres,335582,2159862,15.53719636
2011,1,Michoacán,Hombres,163234,1114376,14.64801826
2011,1,Michoacán,Mujeres,57844,588678,9.826084889
2011,1,Morelos,Hombres,60459,451890,13.37914094
2011,1,Morelos,Mujeres,32797,291951,11.23373443
2011,1,Nayarit,Hombres,27833,301551,9.229947836
2011,1,Nayarit,Mujeres,17791,181967,9.777047487
2011,1,Nuevo León,Hombres,311231,1293276,24.06531939
2011,1,Nuevo León,Mujeres,129063,745100,17.32156757
2011,1,Oaxaca,Hombres,71085,915276,7.766509774
2011,1,Oaxaca,Mujeres,107470,574781,18.69755611
2011,1,Puebla,Hombres,211687,1360093,15.56415627
2011,1,Puebla,Mujeres,144770,885892,16.34172111
2011,1,Querétaro,Hombres,105649,440656,23.97539123
2011,1,Querétaro,Mujeres,58078,285230,20.36181327
2011,1,Quintana Roo,Hombres,22625,398720,5.674408106
2011,1,Quintana Roo,Mujeres,12573,248467,5.060229326
2011,1,San Luis Potosí,Hombres,114408,637265,17.9529709
2011,1,San Luis Potosí,Mujeres,62567,364674,17.15696759
2011,1,Sinaloa,Hombres,71333,732246,9.741671515
2011,1,Sinaloa,Mujeres,43284,425467,10.17329194
2011,1,Sonora,Hombres,107468,651598,16.49299108
2011,1,Sonora,Mujeres,84811,410222,20.67441532
2011,1,Tabasco,Hombres,39473,567524,6.955300569
2011,1,Tabasco,Mujeres,20009,285770,7.001784652
2011,1,Tamaulipas,Hombres,169503,844004,20.08319866
2011,1,Tamaulipas,Mujeres,90292,479130,18.84498988
2011,1,Tlaxcala,Hombres,58803,268869,21.87050199
2011,1,Tlaxcala,Mujeres,41891,172606,24.26972411
2011,1,Veracruz,Hombres,200331,1956302,10.2402901
2011,1,Veracruz,Mujeres,79040,968722,8.159203569
2011,1,Yucatán,Hombres,84595,548576,15.42083503
2011,1,Yucatán,Mujeres,76107,344818,22.07164359
2011,1,Zacatecas,Hombres,42656,343150,12.43071543
2011,1,Zacatecas,Mujeres,25400,187235,13.56583972
2011,2,Nacional,Hombres,4540303,28805750,15.76179409
2011,2,Nacional,Mujeres,2613224,17309940,15.096667
2011,2,Aguascalientes,Hombres,65342,280600,23.28652887
2011,2,Aguascalientes,Mujeres,29877,176193,16.95697332
2011,2,Baja California,Hombres,155989,839093,18.59019203
2011,2,Baja California,Mujeres,113353,500895,22.63009214
2011,2,Baja California Sur,Hombres,15161,176660,8.582021963
2011,2,Baja California Sur,Mujeres,6775,111789,6.060524739
2011,2,Campeche,Hombres,15695,226184,6.939040781
2011,2,Campeche,Mujeres,13756,126055,10.91269684
2011,2,Coahuila,Hombres,185586,733010,25.31834491
2011,2,Coahuila,Mujeres,73811,413992,17.82908848
2011,2,Colima,Hombres,13971,178995,7.805245957
2011,2,Colima,Mujeres,9055,127325,7.111721971
2011,2,Chiapas,Hombres,68226,1292604,5.278182645
2011,2,Chiapas,Mujeres,65218,557896,11.6899924
2011,2,Chihuahua,Hombres,173504,834167,20.79967201
2011,2,Chihuahua,Mujeres,104888,408287,25.68977215
2011,2,Ciudad de México,Hombres,278540,2244521,12.40977474
2011,2,Ciudad de México,Mujeres,156434,1721266,9.088310581
2011,2,Durango,Hombres,63777,399115,15.97960488
