"AnoMes","carton kit carton","carton producto comercializacion carton","carton producto terminado carton","retornable producto comercializacion retornable","retornable producto terminado retornable","servicios","retornable kit retornable","carton materia prima carton","retornable producto en proceso retornable","muestras producto terminado muestras","Fecha","Compactos","De Lujo","Minivans","Pick Ups","SUV's","Subcompactos"
2021-01-01,27293,127884,128801,347,790,127,0,0,0,0,2021-01-01,NA,3677,0,NA,NA,NA
2021-02-01,19694,184428,129736,0,405,0,1000,0,0,0,2021-02-01,NA,5445,0,NA,NA,NA
2021-03-01,10338,163445,101102,70,5044,58,0,0,0,0,2021-03-01,NA,6271,0,NA,NA,NA
2021-04-01,8973,149272,107985,0,1494,0,0,50,0,0,2021-04-01,NA,5915,0,NA,NA,NA
2021-05-01,8155,78816,92222,0,4380,4,0,0,0,0,2021-05-01,NA,NA,0,NA,NA,NA
2021-06-01,7469,67060,66232,0,1980,0,0,0,0,0,2021-06-01,NA,6079,0,NA,NA,NA
2021-07-01,7183,32562,117806,0,642,39,0,0,0,0,2021-07-01,NA,NA,0,NA,NA,NA
2021-08-01,7886,11333,66693,50,3192,0,0,0,0,0,2021-08-01,NA,NA,0,NA,NA,NA
2021-09-01,7506,10393,94020,0,916,4,0,0,0,0,2021-09-01,NA,6388,0,NA,NA,NA
2021-10-01,9268,7391,73476,0,140,372,0,0,0,0,2021-10-01,NA,NA,0,NA,NA,NA
2021-11-01,8182,9807,89565,0,190,0,0,0,0,0,2021-11-01,NA,NA,0,NA,NA,NA
2021-12-01,5799,5274,79703,0,3083,0,0,0,0,0,2021-12-01,NA,5533,0,NA,NA,NA
2022-01-01,7937,8587,76993,1,2040,5,0,0,14,0,2022-01-01,NA,6228,0,66195,NA,5647
2022-02-01,10933,11003,130311,0,280,0,0,0,0,0,2022-02-01,NA,5654,0,62598,NA,NA
2022-03-01,10661,9590,129218,150,8713,45,0,0,0,0,2022-03-01,NA,2205,0,90868,NA,NA
2022-04-01,7840,9146,109105,0,7319,0,0,0,0,5,2022-04-01,NA,NA,0,NA,NA,NA
2022-05-01,9164,7370,85930,0,19391,2,0,0,16,0,2022-05-01,NA,NA,0,80744,NA,NA
2022-06-01,8179,10825,115253,0,14752,2,0,0,0,0,2022-06-01,NA,NA,0,66366,NA,NA
2022-07-01,7593,7530,98275,0,15320,2,0,1,0,0,2022-07-01,NA,3885,0,69077,NA,NA
2022-08-01,9411,8745,114342,50,11742,13,0,0,0,0,2022-08-01,NA,NA,0,62470,NA,NA
2022-09-01,9614,8498,128651,0,38648,2,0,0,0,0,2022-09-01,NA,NA,0,84303,NA,NA
2022-10-01,9632,11088,99095,0,37845,2684,0,0,0,0,2022-10-01,NA,7737,0,81825,NA,NA
2022-11-01,7718,8137,103318,1220,17044,2428,0,0,0,0,2022-11-01,NA,8806,0,71697,NA,NA
2022-12-01,3661,8513,76250,0,43412,2161,0,0,0,0,2022-12-01,NA,8237,0,75876,NA,NA
2023-01-01,12341,13183,136531,0,761,11363,0,0,0,0,2023-01-01,NA,2367,0,79961,NA,NA
2023-02-01,7258,12736,113904,0,2965,4217,0,0,0,0,2023-02-01,NA,6495,0,65350,NA,NA
2023-03-01,8562,11332,138662,0,36986,2165,0,0,0,0,2023-03-01,NA,5983,0,73855,NA,NA
2023-04-01,5612,11615,107991,0,7681,1882,0,0,0,0,2023-04-01,NA,6550,0,75722,NA,4134
2023-05-01,9931,9770,166188,80,13649,1025,0,48,0,0,2023-05-01,NA,NA,0,80301,NA,NA
2023-06-01,8240,16102,159784,1161,1980,1886,0,0,0,0,2023-06-01,NA,10651,0,87866,NA,NA
2023-07-01,6739,8545,115240,0,43717,373,0,0,0,0,2023-07-01,NA,5807,0,63894,NA,NA
