Fecha,Dia,Mes,Numero_de_Semana,Año,Denso Total_Cantidad,Grupo ABC Total_Cantidad,Grupo Antolin Total_Cantidad,Hella Automotive Total_Cantidad,IACNA Total_Cantidad,Po Lighting Total_Cantidad,Stabilus Total_Cantidad,Tokai Rika Total_Cantidad,Yanfeng Total_Cantidad,Meridian Technologies Total_Cantidad,EFP Operations Total_Cantidad,Johnson Controls Total_Cantidad,Transporte y Automatización de Materiales Total_Cantidad,Isringhausen Total_Cantidad,Aptiv Total_Cantidad,Tesla Total_Cantidad,Mitchell Plastics Total_Cantidad,ElringKlinger Total_Cantidad,Draexlmaier Total_Cantidad,Michigan State University Total_Cantidad,Sanhua Automotive Total_Cantidad,Estapack Total_Cantidad,AGP Worldwide Operations Total_Cantidad,Aislantes y Empaques Total_Cantidad,Gaim Regiomontana Total_Cantidad,Ufi Filters Total_Cantidad,ITB Packaging Total_Cantidad,Inoac Polytec Total_Cantidad,ZKW Total_Cantidad,Faurecia Total_Cantidad,Katcon Total_Cantidad,Avanzar Interior Products Total_Cantidad,Denso Promedio_Cantidad,Grupo ABC Promedio_Cantidad,Grupo Antolin Promedio_Cantidad,Hella Automotive Promedio_Cantidad,IACNA Promedio_Cantidad,Po Lighting Promedio_Cantidad,Stabilus Promedio_Cantidad,Tokai Rika Promedio_Cantidad,Yanfeng Promedio_Cantidad,Meridian Technologies Promedio_Cantidad,EFP Operations Promedio_Cantidad,Johnson Controls Promedio_Cantidad,Transporte y Automatización de Materiales Promedio_Cantidad,Isringhausen Promedio_Cantidad,Aptiv Promedio_Cantidad,Tesla Promedio_Cantidad,Mitchell Plastics Promedio_Cantidad,ElringKlinger Promedio_Cantidad,Draexlmaier Promedio_Cantidad,Michigan State University Promedio_Cantidad,Sanhua Automotive Promedio_Cantidad,Estapack Promedio_Cantidad,AGP Worldwide Operations Promedio_Cantidad,Aislantes y Empaques Promedio_Cantidad,Gaim Regiomontana Promedio_Cantidad,Ufi Filters Promedio_Cantidad,ITB Packaging Promedio_Cantidad,Inoac Polytec Promedio_Cantidad,ZKW Promedio_Cantidad,Faurecia Promedio_Cantidad,Katcon Promedio_Cantidad,Avanzar Interior Products Promedio_Cantidad
2021-01-04,4,1,1,2021,70,50,20290,80,109,2090,21895,1000,10880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,25,241.55,6.15,18.17,87.08,437.9,500,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,3,1,1,2022,1447,0,0,4120,0,1025,20455,2665,799,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.7,0,0,1030,0,56.94,314.69,166.56,36.32,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,2,1,1,2023,705,0,0,400,0,220,66221,3584,646,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.11,0,0,200,0,55,719.79,256,43.07,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,8,1,2,2021,0,0,36200,0,0,2735,7171,460,9435,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.08,0,0,80.44,421.82,115,181.44,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,10,1,2,2022,112,0,0,0,0,430,28169,2859,356,440,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,107.5,396.75,168.18,27.38,73.33,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,9,1,2,2023,848,0,15,4000,0,1058,21089,1750,1822,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.53,0,15,2000,0,50.38,554.97,145.83,95.89,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,15,1,3,2021,0,29,42074,3,0,1905,42316,40,7888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,375.66,1,0,119.06,829.73,20,171.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-15,15,1,3,2022,33,0,0,0,0,1001,10936,2500,166,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,58.88,390.57,178.57,27.67,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-16,16,1,3,2023,1216,0,0,0,0,360,22938,2500,733,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.27,0,0,0,0,20,533.44,131.58,61.08,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,22,1,4,2021,0,0,27210,3,0,2519,10182,1133,7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.85,1,0,58.58,565.67,377.67,191.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
