"Folio de Factura","Fecha","No. OC Cliente","Ref. cliente","Cliente","Producto","Cantidad","Categoría de producto","Estado","Tipo"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","caja rsc 180302840 180302840",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","celda armada 180302870 180302870",80,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180022270 linner cmp1210 linner 180022270 l42 p",1000,"carton producto comercializacion carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180003720 caja rsc 180003720 caja rsc",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180203000 180203000",50,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180203030 180203030",300,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111940 caja 180111940",70,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111980 hsc 180111980 hsc",60,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111990 celda armada 180111990",100,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180112030 celda armada 180112030 celda armada",60,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180112040 tapa 180112040",180,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180205070 caja de carton low roof ebw ford low roof hsc",20,"carton producto terminado carton","posted","Empaques Primarios"
"f26723",2021-01-04,"f2672348","ramos ii","yanfeng international automotive technology mexico","f30015 tesla nv26 flr cnsl end panel tesla nv26 flr cnsl end panel",5,"carton kit carton","posted","Otros"
"f26724",2021-01-04,"f2672449","18","yanfeng international automotive technology mexico","f30008 rejillas de 52 cav 3957150 3957150 ptndt b upr itb 52 cell 3957150 ptndt b upr itb 52 cell",20,"carton producto terminado carton","posted","Otros"
"f26725",2021-01-04,"f2672550","26","stabilus","herramental para caja individual triang herramental para caja individual triang",1,"servicios","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","427862 as 30 99 0000 00 000 carton nextracker kit copia nextracker kit rev 2",57,"carton kit carton","posted","Kits de Empaque"
"f26726",2021-01-04,"f2672651","26","stabilus","938591 fs 30 99 0000 00 000 carton box 938591 size 16 13876 16 caja terminada",2371,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","939069 fs 30 99 0000 00 000 carton box 939069 34 15676 34 caja terminada",690,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","939308 fs 30 99 0000 00 000 carton box 939308 size 48 48 caja terminada",500,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","643920 cart som 7468x5690x2921 rsc box 643920 stabomat 13891 643920 stabomat caja",230,"carton producto terminado carton","posted","Empaques Primarios"
