Industry Group ID,Industry Group,Quarter ID,Quarter_,Time ID,Investment (USD)
3363,Manufacture of Parts for Motor Vehicles,19991,1999-Q1,9.17849E+11,236916198.7
3363,Manufacture of Parts for Motor Vehicles,19992,1999-Q2,9.25535E+11,211909606.9
3363,Manufacture of Parts for Motor Vehicles,19993,1999-Q3,9.33484E+11,296658905
3363,Manufacture of Parts for Motor Vehicles,19994,1999-Q4,9.41436E+11,339896850.6
3363,Manufacture of Parts for Motor Vehicles,20001,2000-Q1,9.49385E+11,374017456.1
3363,Manufacture of Parts for Motor Vehicles,20002,2000-Q2,9.57157E+11,293069244.4
3363,Manufacture of Parts for Motor Vehicles,20003,2000-Q3,9.65106E+11,206517318.7
3363,Manufacture of Parts for Motor Vehicles,20004,2000-Q4,9.73058E+11,342034210.2
3363,Manufacture of Parts for Motor Vehicles,20011,2001-Q1,9.81007E+11,168788406.4
3363,Manufacture of Parts for Motor Vehicles,20012,2001-Q2,9.88697E+11,385388946.5
3363,Manufacture of Parts for Motor Vehicles,20013,2001-Q3,9.96642E+11,542977111.8
3363,Manufacture of Parts for Motor Vehicles,20014,2001-Q4,1.00459E+12,594032714.8
3363,Manufacture of Parts for Motor Vehicles,20021,2002-Q1,1.01254E+12,194353622.4
3363,Manufacture of Parts for Motor Vehicles,20022,2002-Q2,1.02023E+12,320992218
3363,Manufacture of Parts for Motor Vehicles,20023,2002-Q3,1.02818E+12,273763671.9
3363,Manufacture of Parts for Motor Vehicles,20024,2002-Q4,1.03613E+12,194728622.4
3363,Manufacture of Parts for Motor Vehicles,20031,2003-Q1,1.04408E+12,192293090.8
3363,Manufacture of Parts for Motor Vehicles,20032,2003-Q2,1.05177E+12,182405868.5
3363,Manufacture of Parts for Motor Vehicles,20033,2003-Q3,1.05971E+12,421531341.6
3363,Manufacture of Parts for Motor Vehicles,20034,2003-Q4,1.06767E+12,692052185.1
3363,Manufacture of Parts for Motor Vehicles,20041,2004-Q1,1.07562E+12,281185638.4
3363,Manufacture of Parts for Motor Vehicles,20042,2004-Q2,1.08339E+12,324773803.7
3363,Manufacture of Parts for Motor Vehicles,20043,2004-Q3,1.09134E+12,935953918.5
3363,Manufacture of Parts for Motor Vehicles,20044,2004-Q4,1.09929E+12,348831604
3363,Manufacture of Parts for Motor Vehicles,20051,2005-Q1,1.10724E+12,736828674.3
3363,Manufacture of Parts for Motor Vehicles,20052,2005-Q2,1.11492E+12,262409973.1
3363,Manufacture of Parts for Motor Vehicles,20053,2005-Q3,1.12287E+12,321758667
3363,Manufacture of Parts for Motor Vehicles,20054,2005-Q4,1.13082E+12,583420349.1
3363,Manufacture of Parts for Motor Vehicles,20061,2006-Q1,1.13877E+12,637701721.2
3363,Manufacture of Parts for Motor Vehicles,20062,2006-Q2,1.14646E+12,551686950.7
