year,year_quarter,quarter,state_id,State,trade_value,region
2006,20061,2006-Q1,1,Aguascalientes,41467663,Centro-Norte
2006,20062,2006-Q2,1,Aguascalientes,68865388,Centro-Norte
2006,20063,2006-Q3,1,Aguascalientes,98879401,Centro-Norte
2006,20064,2006-Q4,1,Aguascalientes,172591417,Centro-Norte
2007,20071,2007-Q1,1,Aguascalientes,166572113,Centro-Norte
2007,20072,2007-Q2,1,Aguascalientes,167222076,Centro-Norte
2007,20073,2007-Q3,1,Aguascalientes,172829869,Centro-Norte
2007,20074,2007-Q4,1,Aguascalientes,191428224,Centro-Norte
2008,20081,2008-Q1,1,Aguascalientes,157688215,Centro-Norte
2008,20082,2008-Q2,1,Aguascalientes,197817992,Centro-Norte
2008,20083,2008-Q3,1,Aguascalientes,245460255,Centro-Norte
2008,20084,2008-Q4,1,Aguascalientes,173336295,Centro-Norte
2009,20091,2009-Q1,1,Aguascalientes,121238886,Centro-Norte
2009,20092,2009-Q2,1,Aguascalientes,115226366,Centro-Norte
2009,20093,2009-Q3,1,Aguascalientes,162270022,Centro-Norte
2009,20094,2009-Q4,1,Aguascalientes,225713821,Centro-Norte
2010,20101,2010-Q1,1,Aguascalientes,223897894,Centro-Norte
2010,20102,2010-Q2,1,Aguascalientes,248312643,Centro-Norte
2010,20103,2010-Q3,1,Aguascalientes,217388960,Centro-Norte
2010,20104,2010-Q4,1,Aguascalientes,228163781,Centro-Norte
2011,20111,2011-Q1,1,Aguascalientes,251364795,Centro-Norte
2011,20112,2011-Q2,1,Aguascalientes,251098289,Centro-Norte
2011,20113,2011-Q3,1,Aguascalientes,169709344,Centro-Norte
2011,20114,2011-Q4,1,Aguascalientes,240482656,Centro-Norte
2012,20121,2012-Q1,1,Aguascalientes,192905549,Centro-Norte
2012,20122,2012-Q2,1,Aguascalientes,214506487,Centro-Norte
2012,20123,2012-Q3,1,Aguascalientes,219659817,Centro-Norte
2012,20124,2012-Q4,1,Aguascalientes,239742535,Centro-Norte
2013,20131,2013-Q1,1,Aguascalientes,215479280,Centro-Norte
2013,20132,2013-Q2,1,Aguascalientes,253139610,Centro-Norte
2013,20133,2013-Q3,1,Aguascalientes,249915055,Centro-Norte
2013,20134,2013-Q4,1,Aguascalientes,298879996,Centro-Norte
2014,20141,2014-Q1,1,Aguascalientes,297808938,Centro-Norte
2014,20142,2014-Q2,1,Aguascalientes,295293473,Centro-Norte
2014,20143,2014-Q3,1,Aguascalientes,285457661,Centro-Norte
2014,20144,2014-Q4,1,Aguascalientes,329618894,Centro-Norte
