"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"af","Africa","afago","Angola",2021,13383,-0.8549111014744146,-78857,92240,13383
"af","Africa","afben","Benin",2021,106079,-0.3556246696998597,-58544,164623,106079
"af","Africa","afbfa","Burkina Faso",2021,443069,0.9834765869818247,219689,223380,443069
"af","Africa","afbwa","Botswana",2021,21607,0.516280701754386,7357,14250,21607
"af","Africa","afciv","Cote d'Ivoire",2021,1940119,-0.9038812929491741,-18244495,20184614,1940119
"af","Africa","afcmr","Cameroon",2021,73596,-0.3352962427745665,-37124,110720,73596
"af","Africa","afcod","Democratic Republic of the Congo",2021,7428,-0.9166816223977028,-81724,89152,7428
"af","Africa","afcog","Republic of the Congo",2021,11185,1.0182244677011907,5642.999999999999,5542.000000000001,11185
"af","Africa","afdji","Djibouti",2021,32675,50.21473354231975,32037,638,32675
"af","Africa","afdza","Algeria",2021,2749517,0.5730951191728756,1001677.9999999998,1747839.0000000002,2749517
"af","Africa","afegy","Egypt",2021,39863352,0.26534754009316186,8359476,31503876,39863352
"af","Africa","afeth","Ethiopia",2021,1634197,3.6983445650673903,1286373,347824,1634197
"af","Africa","afgab","Gabon",2021,396,-0.017369727047146264,-6.999999999999943,402.99999999999994,396
"af","Africa","afgha","Ghana",2021,4058749,0.08601683577361076,321469,3737280,4058749
"af","Africa","afgin","Guinea",2021,149,0.2521008403361343,29.999999999999986,119.00000000000001,149
"af","Africa","afken","Kenya",2021,4586290,-0.3845777089247363,-2865975,7452265,4586290
"af","Africa","aflby","Libya",2021,15055.000000000002,3010.0000000000005,15050.000000000002,5,15055.000000000002
"af","Africa","aflso","Lesotho",2021,3583386.9999999995,0.5257674850335095,1234806.9999999995,2348580,3583386.9999999995
"af","Africa","afmar","Morocco",2021,26707546,0.10204332076038486,2472976,24234570,26707546
"af","Africa","afmdg","Madagascar",2021,4647460,0.15594137840635663,626962,4020498,4647460
"af","Africa","afmli","Mali",2021,13184,-0.36981979828880085,-7737.000000000004,20921.000000000004,13184
"af","Africa","afmoz","Mozambique",2021,261825,0.10124330190028348,24071,237754,261825
"af","Africa","afmrt","Mauritania",2021,193526,2.1735458585461047,132545,60981,193526
"af","Africa","afmus","Mauritius",2021,1141196,-0.18331588367434715,-256157,1397353,1141196
"af","Africa","afmwi","Malawi",2021,101354,0.298461380785836,23297,78057,101354
"af","Africa","afnam","Namibia",2021,103059,-0.1767266859452637,-22123,125182,103059
"af","Africa","afner","Niger",2021,33530,7.168087697929354,29425,4105,33530
"af","Africa","afnga","Nigeria",2021,1326032,30.093207025113138,1283385,42647,1326032
"af","Africa","afrwa","Rwanda",2021,148169,1.9310795038673814,97618,50551,148169
"af","Africa","afsdn","Sudan",2021,9800,-0.8627950606221824,-61626,71426,9800
"af","Africa","afsen","Senegal",2021,27291558,1.406529691301046,15950930,11340628,27291558
"af","Africa","afsle","Sierra Leone",2021,24382,-0.08852336448598118,-2367.9999999999964,26749.999999999996,24382
"af","Africa","afssd","South Sudan",2021,13059.000000000002,-0.18314880840683043,-2927.999999999998,15987,13059.000000000002
