"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"af","Africa","afago","Angola",2021,5365401.999999999,-5.4856826381840404,-311412.00000000093,5676814,5365401.999999999
"af","Africa","afbdi","Burundi",2021,3412474,-19.84914378268888,-845090,4257564,3412474
"af","Africa","afben","Benin",2021,2606273,35.16485169208046,678055,1928218,2606273
"af","Africa","afbfa","Burkina Faso",2021,6027469,75.7083904941199,2597087,3430382,6027469
"af","Africa","afbwa","Botswana",2021,5478156.000000001,-0.5578440799384367,-30730.999999998137,5508886.999999999,5478156.000000001
"af","Africa","afcaf","Central African Republic",2021,505088,110.56826851323014,265219,239869,505088
"af","Africa","afciv","Cote d'Ivoire",2021,24933560,56.78405787241021,9030438,15903122,24933560
"af","Africa","afcmr","Cameroon",2021,14760886,14.600696444703514,1880610,12880276,14760886
"af","Africa","afcod","Democratic Republic of the Congo",2021,2192511,-55.34699942506368,-2717598,4910109,2192511
"af","Africa","afcog","Republic of the Congo",2021,2549825,43.534454855315786,773370,1776455,2549825
"af","Africa","afcom","Comoros",2021,109375,133.1343919855057,62460,46915,109375
"af","Africa","afcpv","Cape Verde",2021,1661405,-8.039108999398332,-145238,1806643,1661405
"af","Africa","afdji","Djibouti",2021,5314244,-0.8044846111215951,-43099,5357343,5314244
"af","Africa","afdza","Algeria",2021,8243534,-14.297073075439993,-1375197,9618731,8243534
"af","Africa","afegy","Egypt",2021,75525250,131.82673212288,42946932,32578318,75525250
"af","Africa","aferi","Eritrea",2021,69760,-56.66596265420979,-91222,160982,69760
"af","Africa","afeth","Ethiopia",2021,9161885,15.524422777283844,1231194,7930691,9161885
"af","Africa","afgab","Gabon",2021,2377676,7.68191915509351,169621,2208055,2377676
"af","Africa","afgha","Ghana",2021,13534132,19.298215304117573,2189342,11344790,13534132
"af","Africa","afgin","Guinea",2021,9252722,79.91943147407112,4110019,5142703,9252722
"af","Africa","afgmb","Gambia",2021,546648,-7.680148077091961,-45476,592124,546648
"af","Africa","afgnb","Guinea-Bissau",2021,143793,72.08147341463122,60232,83561,143793
"af","Africa","afgnq","Equatorial Guinea",2021,92674.00000000001,-48.19874457108041,-86228.99999999999,178903,92674.00000000001
"af","Africa","afken","Kenya",2021,10434484,12.55480104213533,1163903,9270581,10434484
"af","Africa","aflbr","Liberia",2021,628294,-1.1130592445928802,-7072,635366,628294
"af","Africa","aflby","Libya",2021,32154812,50.88971959406556,10844671,21310141,32154812
"af","Africa","aflso","Lesotho",2021,1798170,12.100609201106186,194102,1604068,1798170
"af","Africa","afmar","Morocco",2021,46117012,27.180631418287742,9855978,36261034,46117012
"af","Africa","afmdg","Madagascar",2021,3369796,55.8594922558119,1207723,2162073,3369796
"af","Africa","afmli","Mali",2021,9383852,-8.304146185664948,-849819,10233671,9383852
"af","Africa","afmoz","Mozambique",2021,22902063,-7.2162032749567855,-1781194,24683257,22902063
"af","Africa","afmrt","Mauritania",2021,7535362,49.67172122950157,2500769,5034593,7535362
"af","Africa","afmus","Mauritius",2021,3128496,98.98298163833454,1556253,1572243,3128496
"af","Africa","afmwi","Malawi",2021,6489378.000000001,-35.86921600260895,-3629596.999999999,10118975,6489378.000000001
"af","Africa","afnam","Namibia",2021,7162649,16.30510941058852,1004150,6158499,7162649
"af","Africa","afner","Niger",2021,321984,-30.153344888250643,-139003,460987,321984
"af","Africa","afnga","Nigeria",2021,7910047,35.93733996094102,2091155,5818892,7910047
"af","Africa","afrwa","Rwanda",2021,3335841.0000000005,-5.720436465093972,-202402.99999999953,3538244,3335841.0000000005
"af","Africa","afsdn","Sudan",2021,8510782,-3.845618497182969,-340382,8851164,8510782
"af","Africa","afsen","Senegal",2021,8725129,-2.145027784793573,-191259,8916388,8725129
"af","Africa","afshn","Saint Helena",2021,13254.000000000002,54.313657003143575,4665.000000000002,8589,13254.000000000002
"af","Africa","afsle","Sierra Leone",2021,850734,-6.449317834179878,-58649,909383,850734
"af","Africa","afsom","Somalia",2021,5251910,19.550698377433395,858870,4393040,5251910
"af","Africa","afssd","South Sudan",2021,189851,-90.4809823714839,-1804588.0000000002,1994439.0000000002,189851
"af","Africa","afstp","Sao Tome and Principe",2021,30931,66.36725473321859,12339,18592,30931
"af","Africa","afswz","Eswatini",2021,9998800,46.12802672943911,3156307,6842493,9998800
"af","Africa","afsyc","Seychelles",2021,1329195,-38.63102155355701,-836712,2165907,1329195
"af","Africa","aftcd","Chad",2021,34091,-58.6575309240844,-48369,82460,34091
"af","Africa","aftgo","Togo",2021,3725820,-4.712996051510664,-184283,3910103,3725820
"af","Africa","aftun","Tunisia",2021,30061619,16.05195002329407,4158031,25903588,30061619
"af","Africa","aftza","Tanzania",2021,6494144,48.54310216263348,2122252,4371892,6494144
